A.KQT.JT872.J962 K8542.3.A43.Q743 Q9763.A9874.96.8 JT.J652.KQ5.AKT5:77778888656587879999
6542.6.J7.QT9754 KT97.A875.AK5.K8 Q.QT93.QT98642.6 AJ83.KJ42.3.AJ32:CCCCDDDDCCCC8888AAAA
J2.A6.JT73.KT976 K743.Q74.AQ4.543 A85.KJ985.K96.82 QT96.T32.852.AQJ:65656565444433333333
JT7542.JT.865.T9 A6.AKQ6.T972.KQ2 98.85.QJ4.876543 KQ3.97432.AK3.AJ:DDDDAAAADDDDCCCCAAAA
AT72.T6.Q74.9873 K93.Q8752.52.KJ2 J8654.J4.J986.T6 Q.AK93.AKT3.AQ54:CCCC8888CCCCA9A9CCCC
A2.K43.QJ3.KQ632 QJ6.AQT65.A8765. K85.J972.T92.T87 T9743.8.K4.AJ954:8888BAAA888898988788
T7532.K98654.86. 98.AT72.AQ3.QJT5 AKQJ.QJ.J94.8742 64.3.KT752.AK963:B9B943434444B9C9DBDB
KJ95.AJ94.Q972.2 AQ732.753.T6.J83 T864.Q82.K.KQ765 .KT6.AJ8543.AT94:76764454555588887676
A.A9532.AQ63.QJ8 853.J74.KT75.KT5 KQJ974.KQ.92.973 T62.T86.J84.A642:41312121433354544343
Q98.KQ7.JT975.85 JT.J9543.K432.63 A63.T86.AQ86.T74 K7542.A2..AKQJ92:7787AAAA87875555AABA
AT6.AKJ6.5.KQT97 Q85.T98.KJT4.432 K43.Q432.Q9863.J J972.75.A72.A865:44445555222255543333
K6.T94.9763.K762 974.AKQ86.A.QT83 Q853.J75.KJT2.94 AJT2.32.Q854.AJ5:AAAABABABBBB8788AAAA
AQ8.KJT.AKQJT6.9 9.A94.97432.KJ32 KJT75.Q8732.5.54 6432.65.8.AQT876:7272313132322121A9A9
K964.A76.T8.KJ32 875.KJ84.K95.Q94 A3.QT953.J63.T75 QJT2.2.AQ742.A86:87878898666698986666
J72.A8752.K94.QJ KQ8.KQ64.AJT.T53 A53.J.8752.K9862 T964.T93.Q63.A74:A9999797999976666666
AK87.KJ84.K53.QT Q643.T.A92.J7643 T2.AQ76532.J864. J95.9.QT7.AK9852:74747776222265659999
AKJ653.A874.AK3. QT7.J53.Q5.QT653 84.QT92.T9762.KJ 92.K6.J84.A98742:63632222211222227777
64.93.AT2.KQ9543 T75.QT82.854.876 AKJ983.KJ6.3.JT2 Q2.A754.KQJ976.A:62622222878788882222
864.KQ64.KT.KJT2 KJT7.AJ.J865.986 A.T752.Q9742.543 Q9532.983.A3.AQ7:77778888444455555555
AJT7.53.AT6.T843 KQ83.976.J.KJ952 965.AKQ84.K92.76 42.JT2.Q87543.AQ:44445555444465657777
T7.KJ76.T42.T632 KQ83.A.J653.J874 AJ4.8532.AKQ.Q95 9652.QT94.987.AK:55558888656586866565
J87.QJ5.K943.863 Q43.KT942.QT8.KQ T965.83.52.JT952 AK2.A76.AJ76.A74:CBCCAAAACBCCBBBB9999
Q6.T964.J9752.63 95.J85.AT.987542 A82.KQ72.KQ864.K KJT743.A3.3.AQJT:8797AAAA65654444CBCB
K832.Q32.QJT5.74 AJ6.AT876.72.Q62 7.K954.K9864.KT8 QT954.J.A3.AJ953:BABABBBB98986666BBBB
K43.6.AJ64.87643 J9872.AKJ2.95.T9 AT6.T853.QT8.KJ5 Q5.Q974.K732.AQ2:76768787999966664444
KQ64.AK82.Q8.KT7 53.J63.AK762.965 AT82.Q.T953.QJ82 J97.T9754.J4.A43:33333333555544443333
AKQ96.QT93.A83.J J32.85.Q974.KT63 T8754.AKJ62.62.9 .74.KJT5.AQ87542:727221213242AAAAAAAA
AQT97.Q.5.QJ9852 8.T8642.A8764.K6 532.A975.KJ92.74 KJ64.KJ3.QT3.AT3:66766465999999995455
T54.QJT3.K85.Q75 983.K94.AT96.KJ9 A72.875.J72.T643 KQJ6.A62.Q43.A82:BABABABAA9A9BABAA9A9
AQJ.954.74.K7642 2.KJ8763.AKJ92.3 T987.AQ2.Q853.T9 K6543.T.T6.AQJ85:66667677999899988787
Q8.JT765.KQ7.KJ4 97.K83.J8643.862 AKT42.AQ42.A95.Q J653.9.T2.AT9753:11112222111122224444
753.AK9.J87.K754 A964.Q6432.KT65. JT8.J.A9432.QJT8 KQ2.T875.Q.A9632:77778888AAAA86866666
QJ.A52.K964.T876 K6.K3.QT852.J543 AT43.Q9874.A7.Q2 98752.JT6.J3.AK9:44445555434377776666
9.AJT.87532.KQT9 AJ732.92.AKJT4.8 Q54.843.Q96.7654 KT86.KQ765..AJ32:A9AACCCCBBBB98A98787
Q9.K984.72.KQT83 AKJT84.J52.984.4 65.T3.AJT65.9765 732.AQ76.KQ3.AJ2:B8BABBBB999987875555
Q2.KQJ864.84.Q76 63.T3.AQ9652.JT5 KT987.A752.J3.32 AJ54.9.KT7.AK984:979776775555BABABABA
AKT8.K732.52.T54 .JT986.AKT64.J82 QJ432.5.QJ873.97 9765.AQ4.9.AKQ63:88886565CBCB9898BBBB
Q954.J4.JT43.KT4 K3.Q862.AKQ.Q873 AT76.A5.965.J962 J82.KT973.872.A5:99997777999987878888
9873.T532.AK.K96 AKJ2.KJ4.J75.JT4 Q65.A987.43.Q753 T4.Q6.QT9862.A82:88888787767699997676
AT963.J6.K8732.2 K84.KQ.A4.JT9875 72.AT7532.J9.KQ4 QJ5.984.QT65.A63:76766666656566669898
954.T872.JT532.4 QJ.AK63.AKQ6.T62 AT8.QJ54.74.KQJ7 K7632.9.98.A9853:A9A9A9A98787A8A8AAAA
J962.76542.Q82.K AQT43.A.J974.Q53 K7.Q983.AK3.T764 85.KJT.T65.AJ982:99998787555588889999
QT3.JT632.Q97.83 9862.A.AT542.T96 5.854.KJ3.KJ7542 AKJ74.KQ97.86.AQ:AAAABBBB9999AAAA7777
63.QJ53.Q87.KJ84 A754.K92.AT63.62 Q9.64.KJ92.QT975 KJT82.AT87.54.A3:A9A9BABAAAAA87877676
J7.AK92.8765.QJ7 AT93.J653.T32.K5 KQ5.T4.AQ94.9632 8642.Q87.KJ.AT84:65558888666655556555
75.T954.AJ542.62 K83.72.9876.QT84 AQJT942.QJ8.KQ.3 6.AK63.T3.AKJ975:8883444266755555AAAA
AK53.AQT6.8.KQ92 QJT.KJ754.AK2.JT 98.82.QT9653.873 7642.93.J74.A654:66667666766665555555
AK95.AK85.T5.643 J32.QT96.432.J95 Q86.J743.AQJ76.T T74.2.K98.AKQ872:66663333333333337777
K64.AT42.J2.K864 AQ8.Q98765.Q6.52 T753.KJ.AKT83.97 J92.3.9754.AQJT3:65655555666655557777
AQJ952.A.AKJ53.7 K763.K972.Q7.Q96 4.T53.T9862.T854 T8.QJ864.4.AKJ32:66662222999910109898
K976.J4.KJ2.QT63 QJT2.AT532.Q94.9 A3.KQ87.AT875.J5 854.96.63.AK8742:43435555555533336565
A83.KJT6.QT3.852 54.AQ83.AJ9.KJ43 J976.72.K8752.T9 KQT2.954.64.AQ76:AAAAAAAAAAAA8888BBBB
KT9.J62.65.QJ964 AJ7.QT54.AKQT.K5 63.A87.J972.T732 Q8542.K93.843.A8:BABABBBBBABAAAAA8888
A962.AJ9.9652.T8 754.KT76.KJ4.K95 8.Q8543.AQ3.J642 KQJT3.2.T87.AQ73:96969999656576768787
95.T83.97632.953 J742.K9754.AKT.7 AT863.Q2.Q5.KT64 KQ.AJ6.J84.AQJ82:CCCCAAAACCCCAAAAAAAA
QJ43.A9743.J87.K KT975.Q65.K32.Q3 A86.KJT8.AQ65.87 2.2.T94.AJT96542:83834444222222228888
T87.QT97643.A.K7 AK5.AJ.T532.T984 Q2.K.KJ9876.J653 J9643.852.Q4.AQ2:88888888666665657777
AJ42.J43.Q984.75 KT75.T.7653.JT98 83.K8762.JT2.KQ3 Q96.AQ95.AK.A642:A9A9A9A977778898BABA
JT4.A8.A9543.964 KQ732.2.6.JT8532 A865.JT7643.T8.7 9.KQ95.KQJ72.AKQ:8787777766668787AAAA
QT975.KT6.QJ98.K A4.AQJ975.5.J654 K632.8432.AT2.T2 J8..K7643.AQ9873:B8B86676A9B997A7CCCC
AQ852.43.86.J632 KJ7.KJ92.AJ42.Q5 T64.T875.KQT73.8 93.AQ6.95.AKT974:CBCB9888BAAA8888CCCC
AK72.AK7.J982.Q3 T9864.T2.AKQT.J2 J5.J9654.65.T976 Q3.Q83.743.AK854:88989999555588987677
AKJ7.KJT42..KJ96 T52.3.AQJ7432.82 Q964.6.T865.Q754 83.AQ9875.K9.AT3:99994344555599993333
98.K986.AT93.KJ4 KQJT43.73.Q5.985 A.QT52.KJ64.QT76 7652.AJ4.872.A32:75757777222222223232
AKQT84.QJ4.AT.T2 J763.62.42.KQ843 .AKT873.J986.965 952.95.KQ753.AJ7:53534343212154546666
862.532.A8765.J4 QJT5.T864.Q9.T52 73.AQJ97.T2.9876 AK94.K.KJ43.AKQ3:9797BBBB777788889999
KJ8.A5.KT32.K862 AT943.Q873.J965. 752.JT2.Q74.9743 Q6.K964.A8.AQJT5:A99AAAAABBBB9899A99A
AQ98.J43.AK4.J52 T4.QT952.763.843 76.A6.QJT982.K76 KJ532.K87.5.AQT9:43437676878733336666
J7.K954.AK72.Q72 KT9532.87.QJ8.63 AQ8.JT6.653.KT84 64.AQ32.T94.AJ95:44447676444444444444
QJ7.JT72.986.KT6 8643.AKQ.KQJ.Q52 A95.96.A5432.J93 KT2.8543.T7.A874:98989999989877779999
J2.AJ6.T42.K6432 Q96543.KQ93.A7.Q AK87.T742.KQJ.T5 T.85.98653.AJ987:55556666656587877677
QJ863.KT742.5.J3 T975.Q9.KQ72.K84 A4.AJ53.JT9643.7 K2.86.A8.AQT9652:B7B7545433336565BABA
QJ872.AT963.976. K9.874.Q5.JT8753 53.Q2.AKJT843.K2 AT64.KJ5.2.AQ964:8585767644443333BABA
AJ6.JT76.AQ952.8 82.A9532.J74.K96 KQ3.Q84.K8.QJ754 T9754.K.T63.AT32:44446565545443436565
863.Q852.Q932.87 AQJ2.A.JT84.T964 74.KJ9763.AK7.J3 KT95.T4.65.AKQ52:AAAABBBB55557777BBBB
A3.742.A987.T865 J875.A853.KT.QJ9 T4.KQT9.Q6542.72 KQ962.J6.J3.AK43:9898AAAA878755559999
A96.764.K84.9753 JT82.AKQ92.J.Q86 K4.JT85.Q93.KJT4 Q753.3.AT7652.A2:7776AAAA999888887777
K8742.A.KJT6.J94 .KJ9843.Q72.T832 JT53.762.984.KQ7 AQ96.QT5.A53.A65:99995555999976769999
JT842.K952.54.93 K73.QJ64.QJT76.J AQ95.T3.K32.T754 6.A87.A98.AKQ862:BAC86666BBBBCCCBBBBB
QJ42.QT4.972.T62 K98.KJ952.AK.J74 AT63.76.QJ865.K5 75.A83.T43.AQ983:CCC98887CCCB8887DCDB
KQT4.Q743.A6.QJ5 96532.K8.953.T97 J.AJT92.JT87.863 A87.65.KQ42.AK42:44446665434355555555
AT7.74.T764.T743 KJ2.QT65.KQJ3.J2 953.A98.985.K986 Q864.KJ32.A2.AQ5:BBB9BABABBBBBBBA8888
762.AKQ8.T8.9754 T954.T97.AJ.KQT2 J83.65432.9642.6 AKQ.J.KQ753.AJ83:D9D9DBDB7777DCDCDCDC
962.J63.J2.98742 T543.A987.K43.T5 AK87.K542.76.Q63 QJ.QT.AQT985.AKJ:BBBA9999A9A9BBBA8787
T985.AK7.AT4.QJ4 Q.6432.QJ983.865 KJ743.Q85.K762.2 A62.JT9.5.AKT973:63633333656555558787
K9732.A5.J9.Q652 86.KJ3.A874.KT74 QJT4.Q976.Q32.83 A5.T842.KT65.AJ9:888866669999A9A99999
Q83.AKT54.Q9.K32 AKJ2.Q86.K532.Q4 T965.97.AJT4.T97 74.J32.876.AJ865:65656555655566667676
AT98.Q7632.T86.K 6.KT5.Q532.QJT84 QJ72.A8.J74.9732 K543.J94.AK9.A65:989876767777BABABABB
AQT.A9632.J743.J J2.54.Q965.T8742 87543.K8.AT82.Q6 K96.QJT7.K.AK953:66663333555544448787
87432.J74.J5.742 KJ.985.K9832.KJ8 T9.T62.A764.T953 AQ65.AKQ3.QT.AQ6:CCCCBBBBCCCCCCCCBBBB
K6.J9542.QJ75.82 JT94.T6.K4.QT975 A75.Q873.93.KJ64 Q832.AK.AT862.A3:7787AAAA555588889898
.AKQT543.J5.KJ96 QT2.9.K97632.T32 A74.762.A4.Q8754 KJ98653.J8.QT8.A:4141AAAA111199992121
KQ86.K52.KQJ98.7 T54.JT96.72.KT93 AJ73.A87.AT63.Q8 92.Q43.54.AJ6542:62621111555522227777
AQT862.K96.A6.K2 K.32.QJT873.JT76 943.J854.K94.Q83 J75.AQT7.52.A954:33333333545588888787
A4.AT94.Q8652.QT KJT732.Q2.T97.J5 Q65.K7.KJ3.K9764 98.J8653.A4.A832:33336666555533334444
AK7.KQT8763.4.83 T985.J2.AT7532.5 2.A94.QJ986.Q974 QJ643.5.K.AKJT62:4444AABA333376869999
.KT8764.5.K97542 QT843.A5.QJ64.QT A9765.3.AT973.86 KJ2.QJ92.K82.AJ3:99999999666687885555
Q943.AT2.95.K762 AJ62.Q73.762.JT9 K875.K96.AKT83.5 T.J854.QJ4.AQ843:55553232555543436666
T73.KQ5.8742.T86 AJ942.T864.Q.Q43 Q865.J2.AK965.J2 K.A973.JT3.AK975:9999A9A9AAAA6666AAAA
AQJ.Q84.AJT76.95 972.T32.Q9.JT874 T65.KJ9765.54.Q6 K843.A.K832.AK32:7676878744446666AAAA
Q9872.AQ43.765.T T64.KJT.842.QJ63 K.98652.AJT93.82 AJ53.7.KQ.AK9754:A8A8888855555555AAAA
A9.AQ3.JT864.T74 76542.K862.K.Q93 K83.J95.AQ732.52 QJT.T74.95.AKJ86:55558888666633338787
T85.J43.Q76.Q432 K9763.876.KJT.K8 Q4.AT95.8543.JT7 AJ2.KQ2.A92.A965:CCCCCCCCBBBBBABAAAAA
K53.Q4.JT8653.Q7 972.T83.K97.KT64 J4.AK97.Q2.J9832 AQT86.J652.A4.A5:88889999888855556666
T72.KQT984..KQ76 AK953.3.KQ543.84 J86.A62.AT987.T9 Q4.J75.J62.AJ532:66668888434388888787
AK62.QJ6.KT94.Q3 J973.74.762.KT62 Q54.AK95.J8.J975 T8.T832.AQ53.A84:33334444333344444444
AT83.T5.AK.T8752 96542.K98.2.Q964 7.J73.T876543.J3 KQJ.AQ642.QJ9.AK:AAAAAAAAA9A965659797
A93.AK4.T843.853 T54.QJ97632.AQ2. KQ87.85.K75.KJ96 J62.T.J96.AQT742:44445444877764546666
A62.AT97.Q953.84 9.K65.A8764.K765 KQJT3.J42.J2.QJT 8754.Q83.KT.A932:65656565767687889999
QJ86.J.AKJ42.Q75 92.98543.7.KJT43 KT54.K762.T983.2 A73.AQT.Q65.A986:98995454AAAA3333BABB
QT75.9632.96.KQ5 J964.A75.KJ42.73 K3.QT8.AQ873.T92 A82.KJ4.T5.AJ864:87878787878777778787
875.KJ3.QJ98.K96 KQ6.87652.642.73 JT93.4.KT7.QJT85 A42.AQT9.A53.A42:76767777888876766666
J76.987432.Q85.3 QT854.AJ.T76.KJ5 K932.QT5.J4.T974 A.K6.AK932.AQ862:CBCBBABA7777CCCCCCCC
T8.86.53.KJT8743 QJ7.T97543.T96.5 A9643.J.AKQ742.Q K52.AKQ2.J8.A962:76765454AAAA44444444
AQJT62.QT6.AQ.K8 4.A98742.T76.932 875.K3.J9854.J74 K93.J5.K32.AQT65:63664344777754547777
AKT.T2.AJT542.K3 732.KJ97.983.JT8 Q964.Q8.K76.Q542 J85.A6543.Q.A976:63633232888832326666
863.T96.T943.K74 K4.KQ74.QJ.JT985 AQJT2.A83.A8.Q62 975.J52.K7652.A3:44444444666666667676
K9653.AQ94.75.72 74.876.KQ8.KT653 QJT8.53.AJT642.4 A2.KJT2.93.AQJ98:76763333767633339999
A972.JT.95.KQJ94 K8.AQ952.AQ64.73 T653.74.KT82.T82 QJ4.K863.J73.A65:98986666BABA99996666
A.J96.AKJ943.754 Q74.AQ53.T52.QT3 KT86532.K4.6.962 J9.T872.Q87.AKJ8:55555354767654557577
A94.T92.8752.Q64 Q3.Q743.KQJT6.K3 8762.J85.A.J9752 KJT5.AK6.943.AT8:BBBABABABABABBBB8888
AT85.K8.AK8.KQT8 974.7432.QJT752. 2.AQ5.94.J976543 KQJ63.JT96.63.A2:31316666666665651111
763.T8.KJ54.QJT5 AJ92.A7.A763.872 Q.KJ654.T982.K64 KT854.Q932.Q.A93:9999BABA777766667777
QJ9643.A2.962.KQ KT.KQ865.K73.T98 A7.743.A854.J654 852.JT9.QJT.A732:53534343777755556666
8653.AKQJ.A7.Q84 KT97.8.QJ8643.T9 QJ2.2.KT52.KJ632 A4.T976543.9.A75:33334444666677774444
A53..KJT4.KJT653 KQT874.K4.987.Q4 62.AJ87.AQ63.872 J9.QT96532.52.A9:32326666777721212222
Q9.QJ8.Q87.J9842 A8753.A9642.A.T7 K.KT3.KT9654.Q63 JT642.75.J32.AK5:8787BBBBAAAA65657676
AJ76.Q74.QT93.T4 T93.AJT852..J962 Q8542.63.KJ5.853 K.K9.A87642.AKQ7:B8B88585DBDB9999DCDC
K96.QJT862.AQ.Q3 J543.AK9.52.9852 QT8.743.KJT974.6 A72.5.863.AKJT74:9797888854545454A9A9
AQT732.AT974.9.4 K8.QJ65.QJ4.QJ63 J.K82.AT87.KT982 9654.3.K6532.A75:55554343222266666665
QJ76.AT.KJ86.Q62 AT3.J953.QT97.43 K854.K862.3.K975 92.Q74.A542.AJT8:66664444667677775555
862.QJ852.K73.Q5 754.K74.J9.K9872 AQ93.A6.T86542.6 KJT.T93.AQ.AJT43:86875555656544439999
J2.T9743.T54.JT4 Q854.6.K76.KQ953 AK76.QJ852.Q98.6 T93.AK.AJ32.A872:BBBBAAAA6666BABABABA
J9.QJ9653.Q2.K54 QT83.K2.JT854.JT K42.AT84.A63.Q83 A765.7.K97.A9762:44448888434388887777
AJ.T8.AKJ8.KJT95 KQT8.A754.Q3.Q32 9654.KJ2.9754.74 732.Q963.T62.A86:66667676878843434444
8643.Q632.J6.T74 T2..AQ9832.KJ983 KQJ9.J75.T754.62 A75.AKT984.K.AQ5:CCCC9888BBBBCCCCDDDD
AKQ82.Q7.QT63.K2 653.AKT8.AJ4.T85 J7.942.98752.J43 T94.J653.K.AQ976:88886666A9A96565A9A9
A932.A6.K742.962 KJ8.KQ983.9.J543 Q64.J75.865.KQ87 T75.T42.AQJT3.AT:87887777999988887777
Q.AQ742.QT3.9842 T9765.5.985.QJT7 AKJ432.3.KJ7.K63 8.KJT986.A642.A5:54544444767766665555
AQ3.765.KQT87.J9 JT6.JT84.J6.KT74 K982.K32.3.Q6532 754.AQ9.A9542.A8:76766676888877777777
J82.A2.A543.T986 K97.87543.J7.Q75 A543.KJT9.KQT2.2 QT6.Q6.986.AKJ43:54544444656522227676
A975.KQT8.A.KQT3 J8.J9653.K94.874 T63.A7.JT8653.52 KQ42.42.Q72.AJ96:65665454555553546566
K7.AKQJ85.KT85.Q AT5.T64.AQ9.KT54 QJ93.92.J74.8763 8642.73.632.AJ92:77777777444465658888
743.AK87.QT872.K QT.QJ54.J63.QT73 J986.932.AK94.95 AK52.T6.5.AJ8642:9696979776765555AAAA
K9653.A962..K762 2.KT74.AJ872.T95 AQJ87.Q3.T43.QJ8 T4.J85.KQ965.A43:76762111756598984343
8.T983.Q965.9643 QJT942.J5.72.JT8 A7653.A4.J84.Q72 K.KQ762.AKT3.AK5:99A9BBBB999998988888
7.A92.QJ72.97543 AQJT4.863.A4.KQ8 93.J754.KT986.JT K8652.KQT.53.A62:B9B9BBBB888866668888
AKJ84.T86.KJ3.76 73.AQ42.AQ9542.K Q65.J953.T86.Q42 T92.K7.7.AJT9853:77778787A9A9AAAACACA
AQJ93.Q95.A5.765 T8.KT62.KJ72.KQ8 7652.A.8643.JT43 K4.J8743.QT9.A92:66664444989977776666
KQJ.Q962.A75.T96 9852.85.T32.KQJ4 A73.AKT4.Q84.532 T64.J73.KJ96.A87:55556666555576767777
J9873.K32.KJ7.95 52.T75.T9862.KQJ AKT64.AQJ96.5.74 Q.84.AQ43.AT8632:73733131333388888888
K2.J87.653.KT853 Q6.AK4.AKJT9.QJ4 9754.QT92.Q82.76 AJT83.653.74.A92:BABABABA9999BABA9899
QJ8.A972.K43.KJ7 AK764.Q43.95.832 T95.J6.J82.QT654 32.KT85.AQT76.A9:777799999999A9A97777
.9653.AKQ984.KT5 AJ752.K72.2.Q642 964.JT8.7653.973 KQT83.AQ4.JT.AJ8:9797BBBB98985555BABB
8643.532.5.QJ952 QJ97.J.AJ82.T643 AKT52.AQT.963.K7 .K98764.KQT74.A8:8888435399A9BBBB6666
KT632.A7.Q854.Q6 85.K94.97632.KT5 QJ97.QT2.AKT.873 A4.J8653.J.AJ942:76765454999966669999
AQ63.AJ32.A92.Q4 KT98.Q86.KQJ8.93 J75.95.T73.KJ876 42.KT74.654.AT52:76766666777777776666
T.A2.KT85.KJ9864 K7.K9543.AQJ72.T AQ862.QJ76.6.Q53 J9543.T8.943.A72:54547666766687873333
AQ732.QJ2.52.K54 KT85.K97.964.762 9.T8643.AKJT87.9 J64.A5.Q3.AQJT83:65557777333343439898
4.QJ72.KQ984.974 T9.AK86.AJT53.Q5 AJ7652.953.72.JT KQ83.T4.6.AK8632:CBCB888899999888CBCB
J9.KQT43.T95.Q98 KT432.765.KJ8.T4 A76.82.Q2.KJ7653 Q85.AJ9.A7643.A2:B7B7B9B96666A9AA5555
Q.AQJT5.A8.K8432 K82.9763.QJ94.T9 AJ943.K4.K72.QJ7 T765.82.T653.A65:11113333111154541111
A85.J86.T9.K8732 4.T5432.KQ75.J94 KQJT2.AK97.A63.T 9763.Q.J842.AQ65:32322222444477776464
J975.984.Q754.73 A82.KQ5.AJT3.J92 KT4.AJT6.K6.K864 Q63.732.982.AQT5:AAA987878888A999AAA9
QT86.T84.A6432.2 AK3.AKQ52.K7.973 72.J76.QJ85.KT54 J954.93.T9.AQJ86:DCDCAAAADCDC7777DCDC
T6.A5432.A872.74 AQ84.KQT7.JT.QJT KJ72.8.Q9643.632 953.J96.K5.AK985:A8A8888887874444A8A8
K942.A43.A874.T3 Q76.KJ.9652.9752 J83.Q8765.KJT.64 AT5.T92.Q3.AKQJ8:87876666555566669999
J8.8642.Q4.KQJ54 94.K3.KT98753.97 AQT7653.Q95..T62 K2.AJT7.AJ62.A83:CCCC6565CCCBCCCC7777
AK8.J52.J86.K987 Q9732.A86.AK3.43 JT5.QT94.T72.J62 64.K73.Q954.AQT5:A9A9A9A98888A9A99898
JT43..652.QJT754 .KJ872.QJ974.K32 AQ652.Q963.KT8.6 K987.AT54.A3.A98:B9B95565CCCCBBBB8888
QT9642.T54.87.K9 J85.Q83.KQ962.84 3.K762.AJT3.QT62 AK7.AJ9.54.AJ753:88888787777799998888
AK95.T65.64.8754 QJ8763.2.KQJT.K2 T2.K874.7.QJT963 4.AQJ93.A98532.A:BABAA9A9CACADCDC6666
9.JT82.Q862.KQ87 K75432.A9643.K4. AJT.KQ7.AJ93.963 Q86.5.T75.AJT542:33339998555563625555
4.T75.KT92.KQT63 AT53.K8432.4.J97 Q9862.J6.A8765.2 KJ7.AQ9.QJ3.A854:A9AA9899AAAA55558888
63.QJ74.K8.QT432 AJ874.93.JT43.J7 KQ2.A652.75.K965 T95.KT8.AQ962.A8:76768888444488885454
Q763.8.9764.K765 9.AQJT974.KT2.43 J52.K32.AQJ8.T82 AKT84.65.53.AQJ9:88877787AAAA66657777
T84.J4.QT92.Q987 73.QT765.K843.J3 AKJ62.AK82.75.64 Q95.93.AJ6.AKT52:76765555777777777777
AKT9.2.Q96.QT853 76542.J8.KJT5.KJ J3.AKQT975.A72.6 Q8.643.843.A9742:21214343111155555444
A6.J6.AKQ862.KJ9 53.975432.J.8753 Q87.K.9543.QT642 KJT942.AQT8.T7.A:7676AAAABABA22323242
QJ.AQ92.A982.KT8 862.JT74.K3.J973 AKT9754.8.QT.Q62 3.K653.J7654.A54:22221111545564555455
AJ32.AJ2.K94.872 K4.Q87.T85.QJT93 Q76.K9543.J.K654 T985.T6.AQ7632.A:64644443434398986666
AT95.K8.T63.KQJ2 Q83.AQ642.AQ.875 742.J7.KJ75.T964 KJ6.T953.9842.A3:99997777AAAA77777666
QJ7.85.AK98.KQ76 AT8.J2.3.JT98432 6.AQ63.QJT6542.5 K95432.KT974.7.A:4353AAAA888833339898
5432.J874.742.93 AQ86.Q52.AT.7642 JT.AT9.K83.KQJ85 K97.K63.QJ965.AT:9898A9A98787AAAA7777
72.T642.J7.KT852 AKQ854.A8.AKQ6.Q 93.J95.T9854.J96 JT6.KQ73.32.A743:DDDDDDDDCBCBBABA9999
3.KT8.Q8732.T875 Q62.J4.KJT95.K63 KJT754.65.A4.942 A98.AQ9732.6.AQJ:AAAA8787AAA9A9989999
J9765.A82.43.JT8 A8432.K7.T982.92 KT.QJT943.KJ.K65 Q.65.AQ765.AQ743:A9A988887686CCCCBBBB
AJT42.96.KJ63.62 Q976.Q842.T9.QJ3 K3.AJT753.72.854 85.K.AQ854.AKT97:77776666555587879998
QT4.532.KQT986.T K9852.T8.A753.74 73.AJ764.J42.K85 AJ6.KQ9..AQJ9632:AABABBBB77776666BBBB
83.AJ973.72.T652 A972.86.QJT.Q974 T54.K42.A943.J83 KQJ6.QT5.K865.AK:7777AAAA7676AAAA7777
KJ75.JT98632.76. AT9642.K5.A.Q862 Q83.AQ7.KQJ843.K .4.T952.AJT97543:AAA6878742424363DCDC
9862.Q9642.Q62.K QT754.AJ.KT.9864 J.T753.AJ94.QJ72 AK3.K8.8753.AT53:98989998545466669998
QJ2.JT874.J5.972 9.A95.KT8732.QJ5 AKT763.Q2.Q94.K4 854.K63.A6.AT863:979766668888BBBBCCCC
AT42.Q752.AT76.7 QJ5.AK98.Q543.96 K763.64.J2.KJ852 98.JT3.K98.AQT43:99997666999988888888
AK3.KQ762.QJ9.K4 76.T943.KT2.T873 QJ9842.5.874.965 T5.AJ8.A653.AQJ2:65664444666687877777
KQ32.654.K.T6532 AT4.AKT83.J43.J9 J9865.2.QT952.Q4 7.QJ97.A876.AK87:A9A95555CCCC99999999
K83.AQT9862.6.94 A52.5.Q987542.Q8 QT64.43.T.KJT762 J97.KJ7.AKJ3.A53:99995454333399995453
75.QT2.KQJ87.T63 AT96432.64.AT9.Q KQJ.K985.2.97542 8.AJ73.6543.AKJ8:8787BABA878899997777
AJ.Q973.8653.KQT KT986.J4.JT2.942 Q75.KT862.74.876 432.A5.AKQ9.AJ53:77779898555588888888
5.QJ74.K6532.K98 AQ96.K98.AQ8.T62 K73.AT52.J7.J753 JT842.63.T94.AQ4:77778888454466656665
AJ98.AQT53.T8.73 K4.J986.K97.Q984 Q7632.7.542.KJ65 T5.K42.AQJ63.AT2:97974444767798988888
AQ.74.KJT83.T864 42.KQJ82.542.J52 KJT75.95.A96.K97 9863.AT63.Q7.AQ3:73734343888842425555
K643.J5.K962.T82 J75.98732.Q7.Q64 AT82.K.AJT43.K97 Q9.AQT64.85.AJ53:76764444888844448787
AK.AKJ4.AKQ2.KT4 QJ63.832.3.QJ752 754.975.JT9865.9 T982.QT6.74.A863:11115555212110106566
J864.T92.JT932.K T3.AQ64.KQ.97632 Q7.KJ753.A84.854 AK952.8.765.AQJT:9999AAAA77777676BBBB
QT9.A7.742.JT862 643.95.AKT853.73 AKJ752.T8632..95 8.KQJ4.QJ96.AKQ4:969633337575BBBB7776
Q6.QT854.654.QT3 752.KJ92.QJ8.J87 KJ943.3.AT73.K65 AT8.A76.K92.A942:88886666878766668888
T8.KT765.A93.J32 A53.2.KQJT752.Q7 KQJ94.AQ843.6.KT 762.J9.84.A98654:73733232222288887777
QJ9732.A97.Q5.65 A65.J5.J987.JT87 T8.KT62.A43.K943 K4.Q843.KT62.AQ2:76766565777799998888
